name,status,url,docs,src,kind,rel_name,rel_url_charmhub,rel_url_schema,description
parca_scrape,legacy,https://charmhub.io/parca/libraries/parca_scrape,,,Charmhub,parca_scrape,https://charmhub.io/integrations/parca_scrape,,Deprecated in favour of the ``parca-k8s`` charm's ``parka_scrape`` lib.
traefik_route,legacy,https://charmhub.io/traefik-route-k8s/libraries/traefik_route,,,Charmhub,traefik_route,https://charmhub.io/integrations/traefik_route,,Deprecated in favour of the ``traefik-k8s`` charm's ``traefik_route`` lib.
kratos_external_provider,,https://charmhub.io/kratos-external-idp-integrator/libraries/kratos_external_provider,,,Charmhub,external_provider,https://charmhub.io/integrations/external_provider,,
forward_auth,,https://charmhub.io/oathkeeper/libraries/forward_auth,,,Charmhub,forward_auth,https://charmhub.io/integrations/forward_auth,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/forward_auth/v0,
dex_oidc_config,,https://charmhub.io/dex-auth/libraries/dex_oidc_config,,,Charmhub,dex-oidc-config,https://charmhub.io/integrations/dex-oidc-config,,
fiveg_core_gnb,,https://charmhub.io/sdcore-nms-k8s/libraries/fiveg_core_gnb,,,Charmhub,fiveg_core_gnb,https://charmhub.io/integrations/fiveg_core_gnb,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/fiveg_core_gnb/v0,
fiveg_n2,,https://charmhub.io/sdcore-amf-k8s/libraries/fiveg_n2,,,Charmhub,fiveg_n2,https://charmhub.io/integrations/fiveg_n2,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/fiveg_n2/v0,
prometheus_api,,https://charmhub.io/mimir-coordinator-k8s/libraries/prometheus_api,,,Charmhub,prometheus_api,https://charmhub.io/integrations/prometheus_api,,
fiveg_n4,,https://charmhub.io/sdcore-upf-k8s/libraries/fiveg_n4,,,Charmhub,fiveg_n4,https://charmhub.io/integrations/fiveg_n4,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/fiveg_n4/v0,
vault_kv,,https://charmhub.io/vault-k8s/libraries/vault_kv,,,Charmhub,vault_kv,https://charmhub.io/integrations/vault_kv,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/vault_kv/v0,
